Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,
,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,
,,,,,,,,,,,,
"Алфавитный список ГОРОДОВ, названия которых не совпадают с названиями станций",,,,,,,,,,,,
,,,,,,,,,,,,
№ п/п,Город,Регион,ж.д. Станция,Дорога,,,,,,,,
  233.,Днестровск (пгт),Республика Молдова,405807  Кучурган - 22 км,40  Од (У),,,,,,,,
  234.,Добрянка (пгт),"Черниговская обл., Украина",324101  Горностаевка - 3 км,32  Ю-Зап (У),,,,,,,,
  235.,Довбыш (пгт),"Житомирская обл., Украина",348106  Курное - 19 км,32  Ю-Зап (У),,,,,,,,
  236.,Докучаевск,"Донецкая обл., Украина",486503  Еленовка - 14 км,48  Дон (У),,,,,,,,
  237.,Докшицы,"Витебская обл., Белоруссия",163903  Парафьянов - 12 км,13  Бел,,,,,,,,
  238.,Долгопрудный,"Московская обл., Россия",237806  Марк - 0 км,17  Моск (Р),,,,,,,,
  239.,Донецк,"Ростовская обл., Россия",504909  Изварино - 8 км,48  Дон (У),,,,,,,,
  240.,Донской,"Тульская обл., Россия",225601  Бобрик-Донской - 0 км,17  Моск (Р),,,,,,,,
  241.,Драбов,"Черкасская обл., Украина",424808  Драбово-Барятинская - 3 км,40  Од (У),,,,,,,,
  242.,Дружба,"Сумская обл., Украина",328704  Хутор-Михайловский - 0 км,32  Ю-Зап (У),,,,,,,,
  243.,Дружба,"Хорезмская обл.,",738705  Питняк - 1 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  244.,Дружба (пгт),"Житомирская обл., Украина",349109  Дуброва-Олевская - 4 км,32  Ю-Зап (У),,,,,,,,
  245.,Дружба (пгт),"Черкасская обл., Украина",429106  Августовский - 3 км,43  Южн (У),,,,,,,,
  246.,Дубэсарь,Республика Молдова,390103  Тираспол - 60 км,39  Млд,,,,,,,,
  247.,Душети,Республика Грузия,560400  Мцхета - 33 км,57  Грз,,,,,,,,
  248.,Дымер (пгт),"Киевская обл., Украина",322002  Немешаево - 30 км,32  Ю-Зап (У),,,,,,,,
  249.,Единец,Республика Молдова,394000  Брэтушень - 13 км,39  Млд,,,,,,,,
  250.,Екабпилс,Латвийская Республика,114201  Крустпилс - 0 км,09  Лат,,,,,,,,
  251.,Елань-Каленовский (пгт),"Воронежская обл., Россия",583703  Ольха - 0 км,58  Ю-Вост (Р),,,,,,,,
  252.,Елкино (пгт),"Свердловская обл., Россия",773601  Нижняя Тура - 13 км,76  Сверд (Р),,,,,,,,
  253.,Емильчино (пгт),"Житомирская обл., Украина",348407  Яблонец - 23 км,32  Ю-Зап (У),,,,,,,,
  254.,Ерки (пгт),"Черкасская обл., Украина",421509  Звенигородка - 0 км,40  Од (У),,,,,,,,
  255.,Ертарский (пгт),"Свердловская обл., Россия",792507  Юшала - 35 км,76  Сверд (Р),,,,,,,,
  256.,Ждановка,"Донецкая обл., Украина",488602  Нижнекрынка - 8 км,48  Дон (У),,,,,,,,
  257.,Железногорск,"Курская обл., Россия",205307  Михайловский Рудник - 3 км,17  Моск (Р),,,,,,,,
  258.,Железногорск-Илимский,"Иркутская обл., Россия",925701  Коршуниха-Ангарская - 0 км,92  В-Сиб (Р),,,,,,,,
  259.,Жиздра,"Калужская обл., Россия",185620  Зикеево - 10 км,17  Моск (Р),,,,,,,,
  260.,Жирновск,"Волгоградская обл., Россия",622109  Медведица - 27 км,61  Прив (Р),,,,,,,,
  261.,Жовтневое (пгт),"Волынская обл., Украина",353104  Иваничи - 9 км,35  Льв (У),,,,,,,,
  262.,Жовтневое (пгт),"Сумская обл., Украина",445005  Веринский Завод - 0 км,43  Южн (У),,,,,,,,
  263.,Жуковский,"Московская обл., Россия",194808  Быково - 5 км,17  Моск (Р),,,,,,,,
  264.,Завитинск,"Амурская обл., Россия",955603  Завитая - 0 км,94  Заб (Р),,,,,,,,
  265.,Заводопетровский (пгт),"Тюменская обл., Россия",790802  Ялуторовск - 39 км,76  Сверд (Р),,,,,,,,
  266.,Заводоуковск,"Тюменская обл., Россия",790906  Заводоуковская - 0 км,76  Сверд (Р),,,,,,,,
  267.,Заводоуспенское (пгт),"Свердловская обл., Россия",792244  Кармак - 38 км,76  Сверд (Р),,,,,,,,
  268.,Заводской (пгт),"Ростовская обл., Россия",587102  Погорелово - 1 км,51  С-Кав (Р),,,,,,,,
  269.,Задонск,"Липецкая обл., Россия",596934  Хитрово - 22 км,58  Ю-Вост (Р),,,,,,,,
  270.,Зайково (пгт),"Свердловская обл., Россия",787706  Худяково - 0 км,76  Сверд (Р),,,,,,,,
  271.,Замглай (пгт),"Черниговская обл., Украина",324309  Голубичи - 7 км,32  Ю-Зап (У),,,,,,,,
  272.,Заречное (пгт),"Ровенская обл., Украина",356206  Дубровица - 65 км,35  Льв (У),,,,,,,,
  273.,Заречный (пгт),"Свердловская обл., Россия",793603  Муранитный - 5 км,76  Сверд (Р),,,,,,,,
  274.,Заславль (пгт),"Минская обл., Белоруссия",143609  Беларусь - 0 км,13  Бел,,,,,,,,
  275.,Зборов,"Тернопольская обл.,",360606  Зборов - 5 км,35  Льв (У),,,,,,,,
,,Украина,,,,,,,,,,
  276.,Звенигородка,"Черкасская обл., Украина",421509  Звенигородка - 12 км,40  Од (У),,,,,,,,
  277.,Згуровка (пгт),"Киевская обл., Украина",323005  Яготин - 32 км,32  Ю-Зап (У),,,,,,,,
  278.,Зеленоборск (пгт),"Тюменская обл., Россия",778904  Конда - 0 км,76  Сверд (Р),,,,,,,,
  279.,Зеленодольск,"Республика Татарстан,",251201  Зеленый Дол - 0 км,24  Горьк (Р),,,,,,,,
,,Россия,,,,,,,,,,
  280.,Зея,"Амурская обл., Россия",952709  Тыгда - 115 км,94  Заб (Р),,,,,,,,
  281.,Злынки (с),"Кировоградская обл.,",423701  Капустино - 1 км,40  Од (У),,,,,,,,
,,Украина,,,,,,,,,,
  282.,Змеиногорск,"Алтайский край, Россия",711904  Третьяково - 45 км,68  Кзх,,,,,,,,
  283.,Знаменка (пгт),"Тамбовская обл., Россия",601600  Кариан-Строганово - 5 км,58  Ю-Вост (Р),,,,,,,,
  284.,Золотое,"Луганская обл., Украина",495606  Марьевка - 4 км,48  Дон (У),,,,,,,,
  285.,Золочев,"Львовская обл., Украина",360502  Злочев - 0 км,35  Льв (У),,,,,,,,
  286.,Зоринск,"Луганская обл., Украина",506509  Мануиловка - 0 км,48  Дон (У),,,,,,,,
  287.,Зугрэс,"Донецкая обл., Украина",489200  Орлова Слобода - 0 км,48  Дон (У),,,,,,,,
  288.,Зугрэс,"Донецкая обл., Украина",489304  Сорочье - 8 км,48  Дон (У),,,,,,,,
  289.,Зыряновский (пгт),"Свердловская обл., Россия",786506  Алапаевск - 12 км,76  Сверд (Р),,,,,,,,
  290.,Зюзельский (пгт),"Свердловская обл., Россия",781305  Полевской - 17 км,76  Сверд (Р),,,,,,,,
  291.,Зюкайка (пгт),"Пермская обл., Россия",762304  Верещагино - 16 км,76  Сверд (Р),,,,,,,,
  292.,Ивангород,"Ленинградская обл., Россия",084006  Нарва - 2 км,08  Эст,,,,,,,,
  293.,Иванков (пгт),"Киевская обл., Украина",321508  Тетерев - 40 км,32  Ю-Зап (У),,,,,,,,
  294.,Иваново,"Брестская обл., Белоруссия",133109  Янов-Полесский - 3 км,13  Бел,,,,,,,,
  295.,Иванополь (пгт),"Житомирская обл., Украина",342108  Чуднов-Волынский - 20 км,32  Ю-Зап (У),,,,,,,,
  296.,Ивдель,"Свердловская обл., Россия",777102  Ивдель I - 0 км,76  Сверд (Р),,,,,,,,
  297.,Ивдель,"Свердловская обл., Россия",777117  Ивдель II (пп) - 0 км,76  Сверд (Р),,,,,,,,
  298.,Ижевск,"Удмуртская Республика,",255409  Ижевск - 0 км,24  Горьк (Р),,,,,,,,
,,Россия,,,,,,,,,,
  299.,Изумруд (пгт),"Свердловская обл., Россия",793800  Асбест - 12 км,76  Сверд (Р),,,,,,,,
  300.,Ильинский (пгт),"Пермская обл., Россия",762569  Григорьевская - 52 км,76  Сверд (Р),,,,,,,,
  301.,Иртышский (пгт),"Тюменская обл., Россия",796103  Тобольск - 8 км,76  Сверд (Р),,,,,,,,
  302.,Иршанск (пгт),"Житомирская обл., Украина",346007  Новая Боровая - 10 км,32  Ю-Зап (У),,,,,,,,
  303.,Ис (пгт),"Свердловская обл., Россия",773601  Нижняя Тура - 22 км,76  Сверд (Р),,,,,,,,
  304.,Каган,"Бухарская обл., Узбекистан",730002  Бухара I - 0 км,73  Узбк,,,,,,,,
  305.,Казанское (пгт),"Тюменская обл., Россия",791608  Ишим - 55 км,76  Сверд (Р),,,,,,,,
  306.,Калач-на-Дону,"Волгоградская обл., Россия",615500  Донская - 0 км,61  Прив (Р),,,,,,,,
  307.,Калининград,"Московская обл., Россия",234901  Подлипки-Дачные - 0 км,17  Моск (Р),,,,,,,,
  308.,Калининск,"Саратовская обл., Россия",609104  Калининск-Саратовский - 0 км,61  Прив (Р),,,,,,,,
  309.,Калининск (пгт),Республика Молдова,394000  Брэтушень - 2 км,39  Млд,,,,,,,,
  310.,Калининское (пгт),"Херсонская обл., Украина",416303  Калининдорф - 7 км,40  Од (У),,,,,,,,
  311.,Калиновка (пгт),"Киевская обл., Украина",321207  Васильков I - 1 км,32  Ю-Зап (У),,,,,,,,
  312.,Калиново (пгт),"Свердловская обл., Россия",771303  Мурзинка - 4 км,76  Сверд (Р),,,,,,,,
  313.,Калита (пгт),"Киевская обл., Украина",323503  Заворичи - 6 км,32  Ю-Зап (У),,,,,,,,
  314.,Калья (пгт),"Свердловская обл., Россия",775709  Бокситы - 19 км,76  Сверд (Р),,,,,,,,
  315.,Каменка,"Пензенская обл., Россия",633300  Белинская - 0 км,63  Кбш (Р),,,,,,,,
  316.,Каменка (пгт),Республика Молдова,395906  Ункитешть - 35 км,39  Млд,,,,,,,,
  317.,Каменка (пгт),"Воронежская обл., Россия",584805  Евдаково - 0 км,58  Ю-Вост (Р),,,,,,,,
  318.,Каменка Бугская,"Львовская обл., Украина",370909  Сапежанка - 0 км,35  Льв (У),,,,,,,,
  319.,Каменка-Днепровская,"Запорожская обл., Украина",466001  Никополь - 8 км,45  Придн (У),,,,,,,,
  320.,Каменный Брод (пгт),"Житомирская обл., Украина",348106  Курное - 30 км,32  Ю-Зап (У),,,,,,,,
  321.,Каменск-Шахтинсский,"Ростовская обл., Россия",587206  Каменская - 0 км,51  С-Кав (Р),,,,,,,,
  322.,Камышаны (пгт),"Херсонская обл., Украина",417804  Херсон - 9 км,40  Од (У),,,,,,,,
  323.,Канск,"Красноярский край, Россия",893500  Канск-Енисейский - 0 км,88  Крас (Р),,,,,,,,
  324.,Кантемир (пгт),Республика Молдова,397102  Прут - 4 км,39  Млд,,,,,,,,
  325.,Карабаш,"Челябинская обл., Россия",802802  Пирит - 6 км,80  Ю-Ур (Р),,,,,,,,
  326.,Карачаевск,Карачаево-Черкесская,531200  Джегута - 45 км,51  С-Кав (Р),,,,,,,,
,,"Республика, Россия",,,,,,,,,,
  327.,Карло-Любкнехтовск,"Донецкая обл., Украина",496204  Деконская - 2 км,48  Дон (У),,,,,,,,
  328.,Карпучинский (пгт),"Свердловская обл., Россия",771303  Мурзинка - 4 км,76  Сверд (Р),,,,,,,,
  329.,Карпушиха (пгт),"Свердловская обл., Россия",770902  Ежевая - 20 км,76  Сверд (Р),,,,,,,,
  330.,Касансай,"Наманганская обл.,",741100  Наманган - 50 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  331.,Каспийский,"Республика Калмыкия,",541804  Улан-Холл - 0 км,51  С-Кав (Р),,,,,,,,
,,Россия,,,,,,,,,,
  332.,Кварели (пгт),Республика Грузия,562209  Мукузани - 19 км,57  Грз,,,,,,,,
  333.,Кедровое (пгт),"Свердловская обл., Россия",780506  Екатеринбург-Пассажирский -,76  Сверд (Р),,,,,,,,
,,, 39 км,,,,,,,,,
  334.,Кельменцы (пгт),"Черновицкая обл., Украина",367605  Ларга - 3 км,35  Льв (У),,,,,,,,
  335.,Кентау,"Чимкентская обл.,",697800  Туркестан - 45 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
  336.,Керки,"Чарджевская обл.,",749206  Керкиче - 2 км,75  Трк,,,,,,,,
,,Туркменистан,,,,,,,,,,
  337.,Керчевский (пгт),"Пермская обл., Россия",769604  Соликамск - 48 км,76  Сверд (Р),,,,,,,,
  338.,Килия,"Одесская обл., Украина",404306  Дзинилор - 29 км,40  Од (У),,,,,,,,
  339.,Киреевск,"Тульская обл., Россия",212103  Дедилово - 20 км,17  Моск (Р),,,,,,,,
  340.,Киров,"Калужская обл., Россия",186303  Подписная - 5 км,17  Моск (Р),,,,,,,,
  341.,Киров,"Калужская обл., Россия",186200  Фаянсовая - 3 км,17  Моск (Р),,,,,,,,
  342.,Кирово-Чепецк,"Кировская обл., Россия",273605  Чепецкая - 0 км,24  Горьк (Р),,,,,,,,
  343.,Кировоград,"Свердловская обл., Россия",770902  Ежевая - 0 км,76  Сверд (Р),,,,,,,,
  344.,Кировск,"Луганская обл., Украина",495517  Голубовка - 4 км,48  Дон (У),,,,,,,,
  345.,Кировское,"Донецкая обл., Украина",504400  Бункерная - 0 км,48  Дон (У),,,,,,,,
  346.,Китаб,"Кашкадарьинская обл.,",734107  Китаб - 4 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  347.,Клавдиево-Тара-сово (пгт),"Киевская обл., Украина",321902  Клавдиево - 0 км,32  Ю-Зап (У),,,,,,,,
  348.,Клайпеда,Литовская Республика,108200  Драугисте - 0 км,12  Лит,,,,,,,,
  349.,Клайпеда,Литовская Республика,108408  Римкай - 0 км,12  Лит,,,,,,,,
  350.,Климовск,"Московская обл., Россия",190807  Гривно - 0 км,17  Моск (Р),,,,,,,,
  351.,Кличев,"Могилевская обл.,",157103  Несета - 7 км,13  Бел,,,,,,,,
,,Белоруссия,,,,,,,,,,
  352.,Ключевск (пгт),"Свердловская обл., Россия",785306  Копалуха - 0 км,76  Сверд (Р),,,,,,,,
  353.,Кодра (пгт),"Киевская обл., Украина",321705  Буян - 5 км,32  Ю-Зап (У),,,,,,,,
  354.,Кодру (пгт),Республика Молдова,391207  Кишинэу - 5 км,39  Млд,,,,,,,,
  355.,Козелец (пгт),"Черниговская обл., Украина",323607  Бобровицы - 40 км,32  Ю-Зап (У),,,,,,,,
  356.,Козелец (пгт),"Брестская обл., Белоруссия",137129  Боровцы - 40 км,13  Бел,,,,,,,,
  357.,Козин (пгт),"Киевская обл., Украина",320204  Киев-Товарный - 31 км,32  Ю-Зап (У),,,,,,,,
  358.,Коксовый (пгт),"Ростовская обл., Россия",587403  Васильевский - 7 км,51  С-Кав (Р),,,,,,,,
  359.,Колки (пгт),"Волынская обл., Украина",354906  Маневичи - 26 км,35  Льв (У),,,,,,,,
  360.,Колобово (пгт),"Ивановская обл., Россия",319014  Ладыгино - 0 км,28  Сев (Р),,,,,,,,
  361.,Коломна,"Московская обл., Россия",233805  Голутвин - 0 км,17  Моск (Р),,,,,,,,
  362.,Комарно,"Львовская обл., Украина",375902  Комарно - 4 км,35  Льв (У),,,,,,,,
  363.,Комсомольск,"Полтавская обл., Украина",425603  Золотнишино - 0 км,43  Южн (У),,,,,,,,
  364.,Комсомольский (пгт),"Тюменская обл., Россия",778406  Геологическая - 0 км,76  Сверд (Р),,,,,,,,
  365.,Комсомольское,"Донецкая обл., Украина",487605  Каракуба - 0 км,48  Дон (У),,,,,,,,
  366.,Конаково,"Тверская обл., Россия",061201  Конаково ГРЭС - 0 км,01  Окт (Р),,,,,,,,
  367.,Кондинский (пгт),"Тюменская обл., Россия",788906  Устье-Аха - 183 км,76  Сверд (Р),,,,,,,,
  368.,Кондопога,"Республика Карелия, Россия",010905  Нигозеро - 6 км,01  Окт (Р),,,,,,,,
  369.,Копайгород (пгт),"Винницкая обл., Украина",332502  Копай - 5 км,32  Ю-Зап (У),,,,,,,,
  370.,Корец,"Ровенская обл., Украина",348002  Новоград-Волынский I - 33 км,32  Ю-Зап (У),,,,,,,,
  371.,Коркино,"Челябинская обл., Россия",800402  Дубровка-Челябинская - 10 км,80  Ю-Ур (Р),,,,,,,,
  372.,Коркино,"Челябинская обл., Россия",804600  Еманжелинск - 17 км,80  Ю-Ур (Р),,,,,,,,
  373.,Короп (пгт),"Черниговская обл., Украина",327701  Алтыновка - 26 км,32  Ю-Зап (У),,,,,,,,
  374.,Костешть (пгт),Республика Молдова,393608  Дрокия - 64 км,39  Млд,,,,,,,,
  375.,Костюковичи,"Могилевская обл.,",159109  Коммунары - 4 км,13  Бел,,,,,,,,
,,Белоруссия,,,,,,,,,,
  376.,Косья (пгт),"Свердловская обл., Россия",773601  Нижняя Тура - 55 км,76  Сверд (Р),,,,,,,,
  377.,Котовск,"Тамбовская обл., Россия",602105  Тамбов II - 0 км,58  Ю-Вост (Р),,,,,,,,
  378.,Коцюбинское (пгт),"Киевская обл., Украина",322303  Беличи - 0 км,32  Ю-Зап (У),,,,,,,,
  379.,Кочубеевское,"Ставропольский край,",530602  Богословская - 5 км,51  С-Кав (Р),,,,,,,,
,,Россия,,,,,,,,,,
  380.,Краматорск,"Донецкая обл., Украина",491906  Шпичкино - 0 км,48  Дон (У),,,,,,,,
  381.,Красная Яруга (пгт),"Белгородская обл., Россия",436701  Свекловичная - 4 км,58  Ю-Вост (Р),,,,,,,,
  382.,Красноармейск,"Московская обл., Россия",236004  Софрино - 18 км,17  Моск (Р),,,,,,,,
  383.,Красноармейск,"Кокчетавская обл.,",687705  Тайынша - 0 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
  384.,Красновишеск,"Пермская обл., Россия",769604  Соликамск - 121 км,76  Сверд (Р),,,,,,,,
  385.,Красногвардейский (пгт),"Свердловская обл., Россия",787602  Талый Ключ - 0 км,76  Сверд (Р),,,,,,,,
  386.,Красногвардейское,"Республика Крым, Украина",475000  Урожайная - 0 км,45  Придн (У),,,,,,,,
  387.,Красногвардейское (пгт),"Белгородская обл., Россия",581209  Бирюч - 15 км,58  Ю-Вост (Р),,,,,,,,
  388.,Красногорск,"Московская обл., Россия",196502  Павшино - 0 км,17  Моск (Р),,,,,,,,
  389.,Красное (пгт),Республика Молдова,390103  Тираспол - 30 км,39  Млд,,,,,,,,
  390.,Краснозаводск,"Московская обл., Россия",236702  Бужаниново - 7 км,17  Моск (Р),,,,,,,,
  391.,Краснолесный (пгт),"Воронежская обл., Россия",590406  Графская - 0 км,58  Ю-Вост (Р),,,,,,,,
  392.,Красноперекопск,"Республика Крым, Украина",472604  Красноперекопск - 2 км,45  Придн (У),,,,,,,,
  393.,Краснослободск,"Республика Мордовия,",640906  Ковылкино - 52 км,63  Кбш (Р),,,,,,,,
,,Россия,,,,,,,,,,
  394.,Краснотурьинск,"Свердловская обл., Россия",775200  Воронцовка - 3 км,76  Сверд (Р),,,,,,,,
  395.,Красноуральск,"Свердловская обл., Россия",773309  Верхняя - 12 км,76  Сверд (Р),,,,,,,,
  396.,Красноярск,"Красноярский край, Россия",890108  Красноярск-Северный - 20 км,88  Крас (Р),,,,,,,,
  397.,Красноярск,"Красноярский край, Россия",890201  Красноярск-Восточный - 27 км,88  Крас (Р),,,,,,,,
  398.,Красный Луч,"Луганская обл., Украина",502509  Марусино - 2 км,48  Дон (У),,,,,,,,
  399.,Красный Сулин,"Ростовская обл., Россия",512106  Сулин - 0 км,51  С-Кав (Р),,,,,,,,
  400.,Крикова,Республика Молдова,391207  Кишинэу - 12 км,39  Млд,,,,,,,,
  401.,Криулень,Республика Молдова,391207  Кишинэу - 43 км,39  Млд,,,,,,,,
  402.,Кропоткин,"Краснодарский край, Россия",520009  Кавказская - 0 км,51  С-Кав (Р),,,,,,,,
  403.,Крымск,"Краснодарский край, Россия",521603  Крымская - 2 км,51  С-Кав (Р),,,,,,,,
  404.,Крюков-на-Днепре,"Полтавская обл., Украина",425001  Кременчуг - 0 км,43  Южн (У),,,,,,,,
  405.,Куба,Азербайджан,545307  Хачмас - 28 км,55  Азерб,,,,,,,,
  406.,Кудымкар,"Пермская обл., Россия",762408  Менделеево - 104 км,76  Сверд (Р),,,,,,,,
  407.,Куйбышево,"Запорожская обл., Украина",462405  Камыш-Заря - 5 км,45  Придн (У),,,,,,,,
  408.,Куликов (пгт),"Львовская обл., Украина",372209  Куликов - 4 км,35  Льв (У),,,,,,,,
  409.,Кулиничи (пгт),"Харьковская обл., Украина",440533  Лосево - 3 км,43  Южн (У),,,,,,,,
  410.,Курахово,"Донецкая обл., Украина",481001  Роя - 0 км,48  Дон (У),,,,,,,,
  411.,Кургантепа,"Андижанская обл.,",743905  Савай - 0 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  412.,Куркино (пгт),"Тульская обл., Россия",593902  Куликово Поле - 0 км,58  Ю-Вост (Р),,,,,,,,
  413.,Куртамыш,"Курганская обл., Россия",829106  Юргамыш - 52 км,80  Ю-Ур (Р),,,,,,,,
  414.,Кусары,Азербайджан,545107  Худат - 35 км,55  Азерб,,,,,,,,
  415.,Кусье-Александ-ровский,"Пермская обл., Россия",767007  Пашия - 16 км,76  Сверд (Р),,,,,,,,
,(пгт),,,,,,,,,,,
  416.,Кызыл-Мажалык,"Республика Тува, Россия",888004  Абакан - 436 км,88  Крас (Р),,,,,,,,
  417.,Кызыл-Мажалык,"Республика Тува, Россия",888305  Минусинск - 425 км,88  Крас (Р),,,,,,,,
  418.,Кызылорда,Казахстан,671707  Кызылорда - 0 км,68  Кзх,,,,,,,,
  419.,Кытлым (пгт),"Свердловская обл., Россия",775304  Карпинск - 68 км,76  Сверд (Р),,,,,,,,
  420.,Кяхта,"Республика Бурятия, Россия",936903  Наушки - 35 км,92  В-Сиб (Р),,,,,,,,
  421.,Лагодехи,Республика Грузия,562105  Цнорис-Цхали - 38 км,57  Грз,,,,,,,,
  422.,Лахденпохья,"Республика Карелия, Россия",023604  Яккима - 3 км,01  Окт (Р),,,,,,,,
  423.,Лебедин,"Сумская обл., Украина",445908  Лебединская - 0 км,43  Южн (У),,,,,,,,
  424.,Лебедовка (пгт),"Тюменская обл., Россия",790906  Заводоуковская - 41 км,76  Сверд (Р),,,,,,,,
  425.,Левиха (пгт),"Свердловская обл., Россия",770902  Ежевая - 32 км,76  Сверд (Р),,,,,,,,
  426.,Ленино (пгт),"Республика Крым, Украина",471508  Семь Колодезей - 0 км,45  Придн (У),,,,,,,,
  427.,Лениногорск,"Республика Татарстан,",648607  Бугульма - 24 км,63  Кбш (Р),,,,,,,,
,,Россия,,,,,,,,,,
  428.,Ленинск,"Андижанская обл.,",743407  Ассаке - 4 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  429.,Ленинский (пос),"Павлодарская обл.,",696009  Жолкудук - 0 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
  430.,Лентехи (пгт),Республика Грузия,575001  Цхалтубо - 100 км,57  Грз,,,,,,,,
  431.,Леова,Республика Молдова,397206  Яргора - 22 км,39  Млд,,,,,,,,
  432.,Лермонтов,"Ставропольский край,",532203  Скачки - 5 км,51  С-Кав (Р),,,,,,,,
,,Россия,,,,,,,,,,
  433.,Лесной (пгт),"Тюменская обл., Россия",790906  Заводоуковская - 75 км,76  Сверд (Р),,,,,,,,
  434.,Летичев (пгт),"Хмельницкая обл., Украина",331001  Деражня - 33 км,32  Ю-Зап (У),,,,,,,,
  435.,Липки,"Тульская обл., Россия",214109  Щекино - 23 км,17  Моск (Р),,,,,,,,
  436.,Литин (пгт),"Винницкая обл., Украина",337807  Уладовка - 30 км,32  Ю-Зап (У),,,,,,,,
  437.,Лиховской (пгт),"Ростовская обл., Россия",580003  Лихая - 0 км,51  С-Кав (Р),,,,,,,,
  438.,Лозовое (пгт),"Хмельницкая обл., Украина",330901  Коржевцы - 0 км,32  Ю-Зап (У),,,,,,,,
  439.,Локачи (пгт),"Волынская обл., Украина",353104  Иваничи - 26 км,35  Льв (У),,,,,,,,
  440.,Ломоносов,"Ленинградская обл., Россия",075401  Ораниенбаум - 0 км,01  Окт (Р),,,,,,,,
  441.,Лосино-Петровский,"Московская обл., Россия",235707  Монино - 3 км,17  Моск (Р),,,,,,,,
  442.,Луговой (пгт),"Тюменская обл., Россия",788906  Устье-Аха - 24 км,76  Сверд (Р),,,,,,,,
  443.,Луговской (пгт),"Свердловская обл., Россия",792403  Бахметское - 18 км,76  Сверд (Р),,,,,,,,
  444.,Лыткарино,"Московская обл., Россия",194206  Люберцы I - 12 км,17  Моск (Р),,,,,,,,
  445.,Любар (пгт),"Житомирская обл., Украина",341906  Печановка - 24 км,32  Ю-Зап (У),,,,,,,,
  446.,Любеч (пгт),"Черниговская обл., Украина",324703  Неданчичи - 28 км,32  Ю-Зап (У),,,,,,,,
  447.,Любешов (пгт),"Волынская обл., Украина",354605  Камень-Каширский - 63 км,35  Льв (У),,,,,,,,
  448.,Майкор (пгт),"Пермская обл., Россия",762408  Менделеево - 182 км,76  Сверд (Р),,,,,,,,
  449.,Майский,Кабардино-Балкарская,537705  Котляревская - 0 км,51  С-Кав (Р),,,,,,,,
,,"Республика, Россия",,,,,,,,,,
  450.,Майский (пгт),"Пермская обл., Россия",762543  Чайковская - 5 км,76  Сверд (Р),,,,,,,,
  451.,Макаров (пгт),"Киевская обл., Украина",321809  Бородянка - 20 км,32  Ю-Зап (У),,,,,,,,
  452.,Малая Белозерка,"Запорожская обл., Украина",476605  Днепрорудная - 10 км,45  Придн (У),,,,,,,,
  453.,Малая Виска,"Кировоградская обл.,",423608  Виска - 0 км,40  Од (У),,,,,,,,
,,Украина,,,,,,,,,,
  454.,Малая Девица (пгт),"Черниговская обл., Украина",428809  Галка - 2 км,43  Южн (У),,,,,,,,
  455.,Малгобек,"Чеченская Республика ,",539306  Моздок - 43 км,51  С-Кав (Р),,,,,,,,
,,Россия,,,,,,,,,,
  456.,Малышева (пгт),"Свердловская обл., Россия",793800  Асбест - 16 км,76  Сверд (Р),,,,,,,,
  457.,Мамоново (пгт),"Тюменская обл., Россия",797002  Пыть-Ях - 132 км,76  Сверд (Р),,,,,,,,
  458.,Манченки (пгт),"Харьковская обл., Украина",446845  Майский - 0 км,43  Южн (У),,,,,,,,
  459.,Марковка (пгт),"Луганская обл., Украина",586006  Кантемировка - 35 км,58  Ю-Вост (Р),,,,,,,,
  460.,Мартвили (пгт),Республика Грузия,571903  Сенаки - 32 км,57  Грз,,,,,,,,
  461.,Мархамат,"Андижанская обл.,",743407  Ассаке - 25 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  462.,Марьинка,"Донецкая обл., Украина",480808  Красногоровка - 6 км,48  Дон (У),,,,,,,,
  463.,Марьяновка (пгт),"Житомирская обл., Украина",342006  Разино - 37 км,32  Ю-Зап (У),,,,,,,,
  464.,Маслово (пгт),"Сведловская обл., Россия",776716  Уралзолото - 0 км,76  Сверд (Р),,,,,,,,
  465.,Матырский (пгт),"Липецкая обл., Россия",592100  Казинка - 5 км,58  Ю-Вост (Р),,,,,,,,
  466.,Махнево (пгт),"Свердловская обл., Россия",787000  Ерзовка - 3 км,76  Сверд (Р),,,,,,,,
  467.,Машевка (пгт),"Полтавская обл., Украина",441313  Тагамлык - 0 км,43  Южн (У),,,,,,,,
  468.,Маяк (пгт),Республика Молдова,390103  Тираспол - 57 км,39  Млд,,,,,,,,
  469.,Мглин,"Брянская обл., Россия",202008  Унеча - 30 км,17  Моск (Р),,,,,,,,
  470.,Медведка (пгт),"Пермская обл., Россия",766502  Теплая Гора - 24 км,76  Сверд (Р),,,,,,,,
